Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2015,Kern,873453,0.14238612320598476,618405.0,10.18623853211009,7,35.18,-118.82,481923.0,684.0
2015,Kings,148817,-0.3612876439784536,108041.0,17.13888888888889,1,36.32,-119.64,74305.0,45.0
2015,Lake,66975,-0.41817367842044767,53178.0,2.3333333333333335,1,39.03,-122.92,51696.0,90.0
2015,Los Angeles,10072887,6.536649696565032,7816560.0,11.797435897435898,12,34.05,-118.23,5919211.0,42952.0
2015,Madera,152930,-0.3584288152638581,111333.0,13.633333333333333,1,36.95,-120.03,86283.0,138.0
2015,Marin,263888,-0.2813050816110298,209791.0,7.113636363636363,2,38.02,-122.64,179826.0,2826.0
2015,Mendocino,90018,-0.40215714789031803,70844.0,8.937142857142858,2,39.29,-123.29,69993.0,294.0
2015,Merced,266740,-0.27932273794605866,186985.0,16.382608695652173,2,37.29,-120.44,147554.0,153.0
2015,Monterey,429887,-0.16592392240992804,316827.0,5.08421052631579,3,36.5,-121.54,265100.0,794.0
2015,Napa,140654,-0.3669615119087339,110413.0,9.633333333333333,1,38.31,-122.3,97255.0,627.0
2015,Nevada,100341,-0.3949819257116725,82581.0,5.2875,2,39.29,-120.51,76456.0,204.0
2015,Orange,3148491,1.7236999965820663,2436932.0,11.473809523809523,2,33.8,-117.9,2015540.0,19338.0
2015,Placer,373578,-0.20506269850770478,289149.0,8.917948717948718,2,38.83,-121.19,261815.0,1356.0
2015,Riverside,2302000,1.1353283025760794,1703480.0,11.08974358974359,10,33.83,-117.16,1359641.0,4510.0
2015,Sacramento,1495130,0.574496032956425,1134804.0,9.503225806451612,4,38.61,-121.36,886961.0,3358.0
2015,San Bernardino,2114182,1.004781380252255,1547581.0,11.576136363636364,8,34.12,-117.33,1236579.0,3506.0
2015,San Diego,3248180,1.792990970501178,2530332.0,7.61418918918919,11,32.89,-116.97,2083973.0,12054.0
2015,San Francisco,855489,0.12989986037374726,740853.0,8.538888888888888,1,37.77,-122.4,374022.0,4045.0
2015,San Joaquin,724185,0.038634203787011996,525034.0,11.92,3,37.86,-121.3,422665.0,867.0
2015,San Luis Obispo,279620,-0.2703702181687697,229009.0,8.584615384615384,5,35.2,-120.62,191906.0,766.0
2015,San Mateo,758673,0.06260582661924351,597834.0,5.911111111111111,1,37.48,-122.2,555410.0,6854.0
2015,Santa Barbara,440902,-0.15826771081467664,342581.0,7.943478260869566,4,34.67,-120.18,272577.0,1069.0
2015,Santa Clara,1907380,0.8610392222566872,1472497.0,9.389830508474576,3,37.2,-121.75,1222380.0,24812.0
2015,Santa Cruz,274207,-0.2741326397180294,219914.0,5.466666666666666,2,37.02,-122.03,178558.0,1702.0
2015,Shasta,181253,-0.33874230768216906,142827.0,3.477777777777778,2,40.54,-121.76,122772.0,144.0
2015,Solano,433545,-0.16338135118746508,334697.0,8.544117647058824,1,38.1,-122.24,282424.0,1242.0
2015,Sonoma,499963,-0.11721609819305681,398471.0,5.3,1,38.4,-122.82,347000.0,2946.0
2015,Stanislaus,532534,-0.09457692725624944,388217.0,9.466666666666667,2,37.6,-120.95,316995.0,464.0
2015,Sutter,95421,-0.3984016770551711,70421.0,8.573076923076924,1,39.14,-121.62,61151.0,48.0
2015,Tulare,458186,-0.1462540965421097,314774.0,15.522916666666667,3,36.27,-119.14,251351.0,201.0
2015,Ventura,849950,0.12604985982666622,647662.0,9.40377358490566,5,34.3,-118.91,566173.0,3303.0
2015,Yolo,208343,-0.31991282315058844,163341.0,7.114285714285715,2,38.57,-121.76,119085.0,697.0
2016,Alameda,1641983,0.6765693549171562,1297167.0,6.9512820512820515,5,37.77,-122.13,997320.0,18141.0
2016,Butte,228198,-0.3061121802796201,182330.0,8.141176470588235,3,39.68,-121.76,144796.0,245.0
2016,Contra Costa,1136478,0.3252072811579591,875088.0,7.905882352941177,2,37.94,-122.13,756822.0,9293.0
2016,El Dorado,181630,-0.3384802657601164,144577.0,4.509090909090909,2,38.94,-120.01,142202.0,927.0
2016,Fresno,975622,0.21340087422507142,696594.0,9.742446043165469,7,36.73,-119.84,554754.0,2054.0
2016,Humboldt,137015,-0.3694908767743825,110434.0,5.0793103448275865,2,40.73,-124.2,97681.0,673.0
2016,Imperial,179897,-0.339684824515865,128446.0,11.366666666666667,3,32.72,-115.5,131459.0,62.0
